filename,zero_date
apelake,6/25/2017 15:00
apelake,6/17/2023 13:00
claytonfalls,5/28/2015 22:00
claytonfalls,5/24/2016 15:00
claytonfalls,6/17/2018 3:00
claytonfalls,6/21/2020 18:00
claytonfalls,07/02/2022 07:00
claytonfalls,06/09/2023 15:00
claytonfalls,6/19/2024 03:00
cainridgerun,5/23/2019 19:00
cainridgerun,6/21/2021 16:00
cainridgerun,5/28/2023 13:00
cainridgerun,06/05/2024 16:00
homathko,6/14/2019 4:00
homathko,6/27/2020 1:00
homathko,6/24/2021 19:00
homathko,7/20/2022 12:00
homathko,6/15/2023 02:00
homathko,6/18/2024 15:00
lowercain,5/20/2019 16:00
lowercain,6/18/2021 17:00
lowercain,07/02/2022 01:00
lowercain,5/27/2023 14:00
lowercain,5/22/2024 12:00
klinaklini,6/21/2023 7:00
klinaklini,7/24/2022 13:00
klinaklini,6/30/2021 17:00
klinaklini,07/03/2020 19:00
klinaklini,6/22/2019 19:00
machmellkliniklini,6/24/2017 1:00
machmellkliniklini,07/05/2020 16:00
machmellkliniklini,7/22/2022 20:00
machmellkliniklini,6/29/2024 03:00
mountarrowsmith,6/23/2018 12:00
mountarrowsmith,06/12/2020 15:00
mountarrowsmith,6/23/2021 6:00
mountarrowsmith,7/18/2022 3:00
mountarrowsmith,06/12/2024 18:00
mountcayley,6/29/2016 16:00
mountcayley,7/14/2017 8:00
mountcayley,6/19/2019 4:00
mountcayley,07/10/2020 05:00
mountcayley,6/29/2021 16:00
mountcayley,7/20/2022 22:00
mountmaya,6/22/2014 15:00
mountmaya,06/10/2015 01:00
mountmaya,06/06/2016 07:00
mountmaya,6/28/2017 14:00
mountmaya,6/21/2018 17:00
mountmaya,07/06/2020 13:00
mountmaya,7/14/2022 4:00
mountmaya,6/29/2024 02:00
perseverance,05/04/2019 08:00
perseverance,05/07/2020 05:00
rennellpass,4/22/2017 12:00
rennellpass,04/08/2018 10:00
steph3,04/03/2016 16:00
steph3,4/24/2020 8:00
steph3,4/24/2021 22:00
steph3,5/27/2022 12:00
steph3,05/05/2023 13:00
steph3,04/02/2024 03:00
tetrahedron,7/18/2018 1:00
tetrahedron,6/27/2019 15:00
tetrahedron,07/11/2021 01:00
tetrahedron,7/29/2022 20:00
tetrahedron,07/08/2024 11:00
uppercruickshank,07/01/2021 06:00
uppercruickshank,7/19/2022 23:00
uppercruickshank,6/26/2023 20:00
uppercruickshank,6/23/2024 01:00
upperskeena,6/16/2023 22:00
upperskeena,6/25/2024 00:00
steph1,6/15/2014 23:00
steph1,5/15/2015 21:00
steph1,5/27/2016 3:00
steph1,6/26/2017 21:00
steph1,6/21/2018 23:00
steph1,06/10/2019 06:00
steph1,6/28/2020 5:00
steph1,6/24/2021 21:00
steph1,07/10/2022 06:00
steph1,5/30/2023 6:00
steph2,06/04/2017 06:00
steph2,5/15/2019 4:00
steph2,5/22/2020 3:00
steph2,06/06/2021 03:00
steph2,6/21/2022 9:00
steph2,5/21/2023 22:00
steph4,5/22/2022 18:00
steph4,05/08/2023 12:00
steph6,05/07/2017 19:00
steph6,05/02/2018 05:00
steph6,4/24/2019 20:00
steph6,5/13/2020 8:00
steph6,5/18/2021 19:00
steph6,5/29/2022 0:00
steph6,5/15/2023 23:00
steph7,4/16/2016 14:00
steph7,05/09/2011 13:00
steph7,04/02/2014 13:00
steph7,04/11/2017 10:00
steph7,04/07/2018 15:00
steph7,3/25/2019 22:00
steph7,4/20/2020 0:00
steph7,4/23/2021 13:00
steph7,4/26/2023 10:00
steph8,4/26/2011 10:00
steph8,4/22/2012 10:00
steph8,04/08/2013 15:00
steph8,04/02/2014 14:00
steph8,04/01/2017 15:00
steph8,04/08/2018 18:00
steph8,04/11/2023 02:00
